"id","date","date_value"
"asc_665dbb","2018-02-22","2.289005"
"asc_665dbb","2018-03-18","5.262254"
"asc_665dbb","2018-03-30","4.151233"
"asc_665dbb","2018-04-11","-0.8970355"
"asc_665dbb","2018-04-23","1.681988"
"asc_665dbb","2018-05-05","-11.26892"
"asc_665dbb","2018-05-17","0.8166683"
"asc_665dbb","2018-05-29","4.354455"
"asc_665dbb","2018-06-10","9.429409"
"asc_665dbb","2018-06-22","4.370002"
"asc_665dbb","2018-07-04","4.159157"
"asc_665dbb","2018-07-16","-1.482218"
"asc_665dbb","2018-07-28","3.420625"
"asc_665dbb","2018-08-09","1.202955"
"asc_665dbb","2018-08-21","-2.291782"
"asc_665dbb","2018-09-02","4.476784"
"asc_665dbb","2018-09-14","-1.890745"
"asc_665dbb","2018-09-26","-6.026029"
"asc_665dbb","2018-10-08","-7.756577"
"asc_665dbb","2018-10-20","-7.526063"
"asc_665dbb","2018-11-01","-3.350715"
"asc_665dbb","2018-11-13","-2.191871"
"asc_665dbb","2018-11-25","-9.418701"
"asc_665dbb","2016-12-05","2.140561"
"asc_665dbb","2016-12-11","3.115397"
"asc_665dbb","2016-12-17","2.201601"
"asc_665dbb","2016-12-23","0.1802886"
"asc_665dbb","2016-12-29","2.558333"
"asc_665dbb","2017-01-04","2.55333"
"asc_665dbb","2017-01-10","1.665504"
"asc_665dbb","2017-01-16","0.8215177"
"asc_665dbb","2017-01-22","4.403207"
"asc_665dbb","2017-01-28","0.9472714"
"asc_665dbb","2017-02-03","-2.138633"
"asc_665dbb","2017-02-09","4.064457"
"asc_665dbb","2017-02-15","-2.435757"
"asc_665dbb","2017-02-21","2.477178"
"asc_665dbb","2017-02-27","0.4116494"
"asc_665dbb","2017-03-05","3.768595"
"asc_665dbb","2017-03-11","1.408697"
"asc_665dbb","2017-03-17","3.501312"
"asc_665dbb","2017-03-23","1.218758"
"asc_665dbb","2017-03-29","9.36819"
"asc_665dbb","2017-04-04","-1.921848"
"asc_665dbb","2017-04-10","3.939429"
"asc_665dbb","2017-04-16","5.305941"
"asc_665dbb","2017-04-22","2.009429"
"asc_665dbb","2017-04-28","2.416897"
"asc_665dbb","2017-05-04","1.980495"
"asc_665dbb","2017-05-10","2.833014"
"asc_665dbb","2017-05-16","3.257399"
"asc_665dbb","2017-05-22","2.232251"
"asc_665dbb","2017-06-03","-1.65956"
"asc_665dbb","2017-06-15","0.1833643"
"asc_665dbb","2017-06-27","5.069063"
"asc_665dbb","2017-07-09","7.894552"
"asc_665dbb","2017-07-21","-2.209872"
"asc_665dbb","2017-08-02","-4.422867"
"asc_665dbb","2018-12-07","-4.444987"
"asc_665dbb","2018-12-19","-6.430298"
